Orig.,4Kids,No. inseason,4Kids titleOriginal Japanese & Funimation titles[15],Directed by,Written by,Rank[n 1]Rating,Original air date,English air date
East Blue,East Blue,East Blue,East Blue,East Blue,East Blue,East Blue,East Blue,East Blue,East Blue,East Blue,East Blue,East Blue
1,1,1,"""I'm Gonna Be King of the Pirates!""""I'm Luffy! The Man Who's Gonna Be King of the Pirates!""Transcription: ""Ore wa Rufi! Kaizoku Ō ni Naru Otoko Da!"" (Japanese: 俺はルフィ!海賊王になる男だ!)",Konosuke Uda,Junki Takegami,612.4,"October 20, 1999[16]","September 18, 2004[17]"
2,2,2,"""Roronoa Zoro: Pirate Hunter""""Enter the Great Swordsman! Pirate Hunter Roronoa Zoro!""Transcription: ""Daikengō Arawaru! Kaizokugari Roronoa Zoro"" (Japanese: 大剣豪現る!海賊狩りロロノア·ゾロ)",Tetsuji Nakamura,Mitsuru Shimada,911.7,"November 17, 1999[18]","September 25, 2004[19]"
3,3,3,"""An Unlikely Pair: The Pirate & The Pirate Hunter""""Morgan versus Luffy! Who's the Mysterious Pretty Girl?""Transcription: ""Mōgan tai Rufi! Nazo no Bishōjo wa Dare?"" (Japanese: モーガンVSルフィ!謎の美少女は誰?)",Mitsuru Shimada,Hidehiko Kadota,713.3,"November 24, 1999[20]","October 2, 2004[21]"
4,4,4,"""The Passing Of The Hat""""Luffy's Past! Enter Red-Haired Shanks!""Transcription: ""Rufi no Kako! Akagami no Shankusu Tōjō"" (Japanese: ルフィの過去!赤髪のシャンクス登場)",Munehisa Sakai,Junki Takegami,912.9,"December 8, 1999[22]","October 9, 2004[23]"
5,5,5,"""The Circus Comes To Town""""A Terrifying Mysterious Power! Captain Buggy, the Clown Pirate!""Transcription: ""Kyōfu Nazo no Chikara! Kaizoku Dōke Bagī-senchō!"" (Japanese: 恐怖!謎の力·海賊道化バギー船長!)",Junichi Fujise,Junki Takegami,813.5,"December 15, 1999[24]","October 16, 2004[25]"
6,6,6,"""The Beast Breaker""""Desperate Situation! Beast Tamer Mohji vs. Luffy!""Transcription: ""Zettai Zetsumei! Mōjūtsukai Mōji VS Rufi!"" (Japanese: 絶体絶命!猛獣使いモージvsルフィ!)",Shigeyasu Yamauchi,Mitsuru Shimada,112.3,"December 29, 1999[26]","October 23, 2004[27]"
7,7,7,"""The Desperate Duel""""Epic Showdown! Swordsman Zoro vs. Acrobat Cabaji!""Transcription: ""Sōzetsu Kettō! Kengō Zoro VS Kyokugei no Kabaji!"" (Japanese: 壮絶決闘!剣豪ゾロvs曲芸のカバジ!)",Tetsuji Nakamura,Mitsuru Shimada,112.3,"December 29, 1999[26]","October 30, 2004"
8,8,8,"""Who Gets the Last Laugh?""""Who is the Victor? Devil Fruit Power Showdown!""Transcription: ""Shōsha wa Dotchi? Akuma no Mi no Nōryoku Taiketsu!"" (Japanese: 勝者はどっち?悪魔の実の能力対決!)",Kōnosuke Uda,Michiru Shimada,112.3,"December 29, 1999[26]","November 6, 2004[28]"
9,9,9,"""The Teller of Tales""""The Honorable Liar? Captain Usopp!""Transcription: ""Seigi no Usotsuki? Kyaputen Usoppu"" (Japanese: 正義のうそつき?キャプテンウソップ)",Hidehiko Kadota,Junki Takegami,811.4,"January 12, 2000[29]","November 13, 2004[30]"
10,10,10,"""The Bluff and the Bluffer"" ""The Weirdest Guy Ever! Jango the Hypnotist!""Transcription: ""Shijō Saikyō no Hen na Yatsu! Saiminjutsushi Jango"" (Japanese: 史上最強の変な奴!催眠術師ジャンゴ)",Munehisa Sakai,Junki Takegami,912.7,"January 19, 2000[31]","November 20, 2004[32]"
11,10–11,11,"""The Bluff and the Bluffer"" / ""The War at the Shore"" ""Expose the Plot! Pirate Butler, Captain Kuro!""Transcription: ""Inbō o Abake! Kaizoku Shitsuji Kyaputen Kuro"" (Japanese: 陰謀を暴け!海賊執事キャプテンクロ)",Shigeyasu Yamauchi,Junki Takegami,812.1,"January 26, 2000[33]","November 20, 2004November 27, 2004[34]"
12,11,12,"""The War at the Shore"" ""Clash with the Black Cat Pirates! The Great Battle on the Slope!""Transcription: ""Gekitotsu! Kuroneko Kaizoku-dan Sakamichi no Daikōbō!"" (Japanese: 激突!クロネコ海賊団坂道の大攻防!)",Junichi Fujise,Junki Takegami,913.2,"February 2, 2000[35]","November 27, 2004"
